,Product code,Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),Quality
597,IDCJAC0009,70351,2009,8,20,0.0,,Y
598,IDCJAC0009,70351,2009,8,21,0.0,,Y
599,IDCJAC0009,70351,2009,8,22,11.4,1.0,Y
600,IDCJAC0009,70351,2009,8,23,1.6,1.0,Y
601,IDCJAC0009,70351,2009,8,24,0.0,,Y
602,IDCJAC0009,70351,2009,8,25,0.4,1.0,Y
603,IDCJAC0009,70351,2009,8,26,1.0,1.0,Y
604,IDCJAC0009,70351,2009,8,27,0.0,,Y
605,IDCJAC0009,70351,2009,8,28,0.0,,Y
606,IDCJAC0009,70351,2009,8,29,1.6,1.0,Y
607,IDCJAC0009,70351,2009,8,30,6.2,1.0,Y
608,IDCJAC0009,70351,2009,8,31,0.0,1.0,Y
609,IDCJAC0009,70351,2009,9,1,0.4,1.0,Y
610,IDCJAC0009,70351,2009,9,2,0.0,,Y
611,IDCJAC0009,70351,2009,9,3,0.0,,Y
612,IDCJAC0009,70351,2009,9,4,0.6,1.0,Y
613,IDCJAC0009,70351,2009,9,5,0.0,,Y
614,IDCJAC0009,70351,2009,9,6,0.0,,Y
615,IDCJAC0009,70351,2009,9,7,5.0,1.0,Y
616,IDCJAC0009,70351,2009,9,8,5.2,1.0,Y
617,IDCJAC0009,70351,2009,9,9,2.2,1.0,Y
618,IDCJAC0009,70351,2009,9,10,0.0,,Y
619,IDCJAC0009,70351,2009,9,11,0.0,,Y
620,IDCJAC0009,70351,2009,9,12,0.0,,Y
621,IDCJAC0009,70351,2009,9,13,0.0,,Y
622,IDCJAC0009,70351,2009,9,14,0.0,,Y
623,IDCJAC0009,70351,2009,9,15,0.0,,Y
624,IDCJAC0009,70351,2009,9,16,0.0,,Y
625,IDCJAC0009,70351,2009,9,17,0.2,1.0,Y
626,IDCJAC0009,70351,2009,9,18,4.8,1.0,Y
627,IDCJAC0009,70351,2009,9,19,0.0,,Y
628,IDCJAC0009,70351,2009,9,20,0.0,,Y
629,IDCJAC0009,70351,2009,9,21,0.0,,Y
630,IDCJAC0009,70351,2009,9,22,4.8,1.0,Y
631,IDCJAC0009,70351,2009,9,23,27.0,1.0,Y
632,IDCJAC0009,70351,2009,9,24,0.0,,Y
633,IDCJAC0009,70351,2009,9,25,0.0,,Y
634,IDCJAC0009,70351,2009,9,26,3.4,1.0,Y
635,IDCJAC0009,70351,2009,9,27,3.4,1.0,Y
636,IDCJAC0009,70351,2009,9,28,0.0,,Y
637,IDCJAC0009,70351,2009,9,29,0.0,,Y
638,IDCJAC0009,70351,2009,9,30,0.0,,Y
639,IDCJAC0009,70351,2009,10,1,0.0,,Y
640,IDCJAC0009,70351,2009,10,2,0.0,,Y
641,IDCJAC0009,70351,2009,10,3,7.4,1.0,Y
642,IDCJAC0009,70351,2009,10,4,3.0,1.0,Y
643,IDCJAC0009,70351,2009,10,5,0.2,1.0,Y
