,Product code,Station number,Year,Month,Monthly Precipitation Total (millimetres),Quality
392,IDCJAC0001,70014,1971,11,82.6,Y
393,IDCJAC0001,70014,1971,12,95.1,Y
394,IDCJAC0001,70014,1972,1,60.5,Y
395,IDCJAC0001,70014,1972,2,45.9,Y
396,IDCJAC0001,70014,1972,3,23.9,Y
397,IDCJAC0001,70014,1972,4,22.0,Y
398,IDCJAC0001,70014,1972,5,39.1,Y
399,IDCJAC0001,70014,1972,6,9.0,Y
400,IDCJAC0001,70014,1972,7,6.8,Y
401,IDCJAC0001,70014,1972,8,68.0,Y
402,IDCJAC0001,70014,1972,9,12.6,Y
403,IDCJAC0001,70014,1972,10,53.0,Y
404,IDCJAC0001,70014,1972,11,52.0,Y
405,IDCJAC0001,70014,1972,12,3.3,Y
406,IDCJAC0001,70014,1973,1,46.7,Y
407,IDCJAC0001,70014,1973,2,135.0,Y
408,IDCJAC0001,70014,1973,3,46.6,Y
409,IDCJAC0001,70014,1973,4,8.2,Y
410,IDCJAC0001,70014,1973,5,52.2,Y
411,IDCJAC0001,70014,1973,6,29.6,Y
412,IDCJAC0001,70014,1973,7,70.5,Y
413,IDCJAC0001,70014,1973,8,64.1,Y
414,IDCJAC0001,70014,1973,9,38.2,Y
415,IDCJAC0001,70014,1973,10,104.2,Y
416,IDCJAC0001,70014,1973,11,117.3,Y
417,IDCJAC0001,70014,1973,12,42.4,Y
418,IDCJAC0001,70014,1974,1,105.8,Y
419,IDCJAC0001,70014,1974,2,87.6,Y
420,IDCJAC0001,70014,1974,3,43.8,Y
421,IDCJAC0001,70014,1974,4,164.4,Y
422,IDCJAC0001,70014,1974,5,49.8,Y
423,IDCJAC0001,70014,1974,6,21.8,Y
424,IDCJAC0001,70014,1974,7,43.2,Y
425,IDCJAC0001,70014,1974,8,156.2,Y
426,IDCJAC0001,70014,1974,9,64.2,Y
427,IDCJAC0001,70014,1974,10,145.6,Y
428,IDCJAC0001,70014,1974,11,92.0,Y
429,IDCJAC0001,70014,1974,12,2.6,Y
430,IDCJAC0001,70014,1975,1,72.0,Y
431,IDCJAC0001,70014,1975,2,109.2,Y
432,IDCJAC0001,70014,1975,3,47.2,Y
433,IDCJAC0001,70014,1975,4,50.2,Y
434,IDCJAC0001,70014,1975,5,15.2,Y
435,IDCJAC0001,70014,1975,6,83.4,Y
436,IDCJAC0001,70014,1975,7,72.2,Y
437,IDCJAC0001,70014,1975,8,37.8,Y
438,IDCJAC0001,70014,1975,9,102.2,Y
439,IDCJAC0001,70014,1975,10,111.0,Y
440,IDCJAC0001,70014,1975,11,39.0,Y
441,IDCJAC0001,70014,1975,12,31.6,Y
442,IDCJAC0001,70014,1976,1,79.0,Y
443,IDCJAC0001,70014,1976,2,81.0,Y
444,IDCJAC0001,70014,1976,3,29.8,Y
445,IDCJAC0001,70014,1976,4,41.6,Y
446,IDCJAC0001,70014,1976,5,0.8,Y
447,IDCJAC0001,70014,1976,6,12.0,Y
448,IDCJAC0001,70014,1976,7,30.0,Y
